a,b,c,d,e,w
0.069431844,0.5,0.5,0.5,0.5,0.173927423
0.112701665,0.211324865,0.5,0.5,0.5,0.138888889
0.112701665,0.5,0.211324865,0.5,0.5,0.138888889
0.112701665,0.5,0.5,0.211324865,0.5,0.138888889
0.112701665,0.5,0.5,0.5,0.211324865,0.138888889
0.112701665,0.5,0.5,0.5,0.5,-1.111111111
0.112701665,0.5,0.5,0.5,0.788675135,0.138888889
0.112701665,0.5,0.5,0.788675135,0.5,0.138888889
0.112701665,0.5,0.788675135,0.5,0.5,0.138888889
0.112701665,0.788675135,0.5,0.5,0.5,0.138888889
0.211324865,0.112701665,0.5,0.5,0.5,0.138888889
0.211324865,0.211324865,0.211324865,0.5,0.5,0.125
0.211324865,0.211324865,0.5,0.211324865,0.5,0.125
0.211324865,0.211324865,0.5,0.5,0.211324865,0.125
0.211324865,0.211324865,0.5,0.5,0.5,-1
0.211324865,0.211324865,0.5,0.5,0.788675135,0.125
0.211324865,0.211324865,0.5,0.788675135,0.5,0.125
0.211324865,0.211324865,0.788675135,0.5,0.5,0.125
0.211324865,0.5,0.112701665,0.5,0.5,0.138888889
0.211324865,0.5,0.211324865,0.211324865,0.5,0.125
0.211324865,0.5,0.211324865,0.5,0.211324865,0.125
0.211324865,0.5,0.211324865,0.5,0.5,-1
0.211324865,0.5,0.211324865,0.5,0.788675135,0.125
0.211324865,0.5,0.211324865,0.788675135,0.5,0.125
0.211324865,0.5,0.5,0.112701665,0.5,0.138888889
0.211324865,0.5,0.5,0.211324865,0.211324865,0.125
0.211324865,0.5,0.5,0.211324865,0.5,-1
0.211324865,0.5,0.5,0.211324865,0.788675135,0.125
0.211324865,0.5,0.5,0.5,0.112701665,0.138888889
0.211324865,0.5,0.5,0.5,0.211324865,-1
0.211324865,0.5,0.5,0.5,0.5,3.888888889
0.211324865,0.5,0.5,0.5,0.788675135,-1
0.211324865,0.5,0.5,0.5,0.887298335,0.138888889
0.211324865,0.5,0.5,0.788675135,0.211324865,0.125
0.211324865,0.5,0.5,0.788675135,0.5,-1
0.211324865,0.5,0.5,0.788675135,0.788675135,0.125
0.211324865,0.5,0.5,0.887298335,0.5,0.138888889
0.211324865,0.5,0.788675135,0.211324865,0.5,0.125
0.211324865,0.5,0.788675135,0.5,0.211324865,0.125
0.211324865,0.5,0.788675135,0.5,0.5,-1
0.211324865,0.5,0.788675135,0.5,0.788675135,0.125
0.211324865,0.5,0.788675135,0.788675135,0.5,0.125
0.211324865,0.5,0.887298335,0.5,0.5,0.138888889
0.211324865,0.788675135,0.211324865,0.5,0.5,0.125
0.211324865,0.788675135,0.5,0.211324865,0.5,0.125
0.211324865,0.788675135,0.5,0.5,0.211324865,0.125
0.211324865,0.788675135,0.5,0.5,0.5,-1
0.211324865,0.788675135,0.5,0.5,0.788675135,0.125
0.211324865,0.788675135,0.5,0.788675135,0.5,0.125
0.211324865,0.788675135,0.788675135,0.5,0.5,0.125
0.211324865,0.887298335,0.5,0.5,0.5,0.138888889
0.330009478,0.5,0.5,0.5,0.5,0.326072577
0.5,0.069431844,0.5,0.5,0.5,0.173927423
0.5,0.112701665,0.211324865,0.5,0.5,0.138888889
0.5,0.112701665,0.5,0.211324865,0.5,0.138888889
0.5,0.112701665,0.5,0.5,0.211324865,0.138888889
0.5,0.112701665,0.5,0.5,0.5,-1.111111111
0.5,0.112701665,0.5,0.5,0.788675135,0.138888889
0.5,0.112701665,0.5,0.788675135,0.5,0.138888889
0.5,0.112701665,0.788675135,0.5,0.5,0.138888889
0.5,0.211324865,0.112701665,0.5,0.5,0.138888889
0.5,0.211324865,0.211324865,0.211324865,0.5,0.125
0.5,0.211324865,0.211324865,0.5,0.211324865,0.125
0.5,0.211324865,0.211324865,0.5,0.5,-1
0.5,0.211324865,0.211324865,0.5,0.788675135,0.125
0.5,0.211324865,0.211324865,0.788675135,0.5,0.125
0.5,0.211324865,0.5,0.112701665,0.5,0.138888889
0.5,0.211324865,0.5,0.211324865,0.211324865,0.125
0.5,0.211324865,0.5,0.211324865,0.5,-1
0.5,0.211324865,0.5,0.211324865,0.788675135,0.125
0.5,0.211324865,0.5,0.5,0.112701665,0.138888889
0.5,0.211324865,0.5,0.5,0.211324865,-1
0.5,0.211324865,0.5,0.5,0.5,3.888888889
0.5,0.211324865,0.5,0.5,0.788675135,-1
0.5,0.211324865,0.5,0.5,0.887298335,0.138888889
0.5,0.211324865,0.5,0.788675135,0.211324865,0.125
0.5,0.211324865,0.5,0.788675135,0.5,-1
0.5,0.211324865,0.5,0.788675135,0.788675135,0.125
0.5,0.211324865,0.5,0.887298335,0.5,0.138888889
0.5,0.211324865,0.788675135,0.211324865,0.5,0.125
0.5,0.211324865,0.788675135,0.5,0.211324865,0.125
0.5,0.211324865,0.788675135,0.5,0.5,-1
0.5,0.211324865,0.788675135,0.5,0.788675135,0.125
0.5,0.211324865,0.788675135,0.788675135,0.5,0.125
0.5,0.211324865,0.887298335,0.5,0.5,0.138888889
0.5,0.330009478,0.5,0.5,0.5,0.326072577
0.5,0.5,0.069431844,0.5,0.5,0.173927423
0.5,0.5,0.112701665,0.211324865,0.5,0.138888889
0.5,0.5,0.112701665,0.5,0.211324865,0.138888889
0.5,0.5,0.112701665,0.5,0.5,-1.111111111
0.5,0.5,0.112701665,0.5,0.788675135,0.138888889
0.5,0.5,0.112701665,0.788675135,0.5,0.138888889
0.5,0.5,0.211324865,0.112701665,0.5,0.138888889
0.5,0.5,0.211324865,0.211324865,0.211324865,0.125
0.5,0.5,0.211324865,0.211324865,0.5,-1
0.5,0.5,0.211324865,0.211324865,0.788675135,0.125
0.5,0.5,0.211324865,0.5,0.112701665,0.138888889
0.5,0.5,0.211324865,0.5,0.211324865,-1
0.5,0.5,0.211324865,0.5,0.5,3.888888889
0.5,0.5,0.211324865,0.5,0.788675135,-1
0.5,0.5,0.211324865,0.5,0.887298335,0.138888889
0.5,0.5,0.211324865,0.788675135,0.211324865,0.125
0.5,0.5,0.211324865,0.788675135,0.5,-1
0.5,0.5,0.211324865,0.788675135,0.788675135,0.125
0.5,0.5,0.211324865,0.887298335,0.5,0.138888889
0.5,0.5,0.330009478,0.5,0.5,0.326072577
0.5,0.5,0.5,0.069431844,0.5,0.173927423
0.5,0.5,0.5,0.112701665,0.211324865,0.138888889
0.5,0.5,0.5,0.112701665,0.5,-1.111111111
0.5,0.5,0.5,0.112701665,0.788675135,0.138888889
0.5,0.5,0.5,0.211324865,0.112701665,0.138888889
0.5,0.5,0.5,0.211324865,0.211324865,-1
0.5,0.5,0.5,0.211324865,0.5,3.888888889
0.5,0.5,0.5,0.211324865,0.788675135,-1
0.5,0.5,0.5,0.211324865,0.887298335,0.138888889
0.5,0.5,0.5,0.330009478,0.5,0.326072577
0.5,0.5,0.5,0.5,0.069431844,0.173927423
0.5,0.5,0.5,0.5,0.112701665,-1.111111111
0.5,0.5,0.5,0.5,0.211324865,3.888888889
0.5,0.5,0.5,0.5,0.330009478,0.326072577
0.5,0.5,0.5,0.5,0.5,-12.88888889
0.5,0.5,0.5,0.5,0.669990522,0.326072577
0.5,0.5,0.5,0.5,0.788675135,3.888888889
0.5,0.5,0.5,0.5,0.887298335,-1.111111111
0.5,0.5,0.5,0.5,0.930568156,0.173927423
0.5,0.5,0.5,0.669990522,0.5,0.326072577
0.5,0.5,0.5,0.788675135,0.112701665,0.138888889
0.5,0.5,0.5,0.788675135,0.211324865,-1
0.5,0.5,0.5,0.788675135,0.5,3.888888889
0.5,0.5,0.5,0.788675135,0.788675135,-1
0.5,0.5,0.5,0.788675135,0.887298335,0.138888889
0.5,0.5,0.5,0.887298335,0.211324865,0.138888889
0.5,0.5,0.5,0.887298335,0.5,-1.111111111
0.5,0.5,0.5,0.887298335,0.788675135,0.138888889
0.5,0.5,0.5,0.930568156,0.5,0.173927423
0.5,0.5,0.669990522,0.5,0.5,0.326072577
0.5,0.5,0.788675135,0.112701665,0.5,0.138888889
0.5,0.5,0.788675135,0.211324865,0.211324865,0.125
0.5,0.5,0.788675135,0.211324865,0.5,-1
0.5,0.5,0.788675135,0.211324865,0.788675135,0.125
0.5,0.5,0.788675135,0.5,0.112701665,0.138888889
0.5,0.5,0.788675135,0.5,0.211324865,-1
0.5,0.5,0.788675135,0.5,0.5,3.888888889
0.5,0.5,0.788675135,0.5,0.788675135,-1
0.5,0.5,0.788675135,0.5,0.887298335,0.138888889
0.5,0.5,0.788675135,0.788675135,0.211324865,0.125
0.5,0.5,0.788675135,0.788675135,0.5,-1
0.5,0.5,0.788675135,0.788675135,0.788675135,0.125
0.5,0.5,0.788675135,0.887298335,0.5,0.138888889
0.5,0.5,0.887298335,0.211324865,0.5,0.138888889
0.5,0.5,0.887298335,0.5,0.211324865,0.138888889
0.5,0.5,0.887298335,0.5,0.5,-1.111111111
0.5,0.5,0.887298335,0.5,0.788675135,0.138888889
0.5,0.5,0.887298335,0.788675135,0.5,0.138888889
0.5,0.5,0.930568156,0.5,0.5,0.173927423
0.5,0.669990522,0.5,0.5,0.5,0.326072577
0.5,0.788675135,0.112701665,0.5,0.5,0.138888889
0.5,0.788675135,0.211324865,0.211324865,0.5,0.125
0.5,0.788675135,0.211324865,0.5,0.211324865,0.125
0.5,0.788675135,0.211324865,0.5,0.5,-1
0.5,0.788675135,0.211324865,0.5,0.788675135,0.125
0.5,0.788675135,0.211324865,0.788675135,0.5,0.125
0.5,0.788675135,0.5,0.112701665,0.5,0.138888889
0.5,0.788675135,0.5,0.211324865,0.211324865,0.125
0.5,0.788675135,0.5,0.211324865,0.5,-1
0.5,0.788675135,0.5,0.211324865,0.788675135,0.125
0.5,0.788675135,0.5,0.5,0.112701665,0.138888889
0.5,0.788675135,0.5,0.5,0.211324865,-1
0.5,0.788675135,0.5,0.5,0.5,3.888888889
0.5,0.788675135,0.5,0.5,0.788675135,-1
0.5,0.788675135,0.5,0.5,0.887298335,0.138888889
0.5,0.788675135,0.5,0.788675135,0.211324865,0.125
0.5,0.788675135,0.5,0.788675135,0.5,-1
0.5,0.788675135,0.5,0.788675135,0.788675135,0.125
0.5,0.788675135,0.5,0.887298335,0.5,0.138888889
0.5,0.788675135,0.788675135,0.211324865,0.5,0.125
0.5,0.788675135,0.788675135,0.5,0.211324865,0.125
0.5,0.788675135,0.788675135,0.5,0.5,-1
0.5,0.788675135,0.788675135,0.5,0.788675135,0.125
0.5,0.788675135,0.788675135,0.788675135,0.5,0.125
0.5,0.788675135,0.887298335,0.5,0.5,0.138888889
0.5,0.887298335,0.211324865,0.5,0.5,0.138888889
0.5,0.887298335,0.5,0.211324865,0.5,0.138888889
0.5,0.887298335,0.5,0.5,0.211324865,0.138888889
0.5,0.887298335,0.5,0.5,0.5,-1.111111111
0.5,0.887298335,0.5,0.5,0.788675135,0.138888889
0.5,0.887298335,0.5,0.788675135,0.5,0.138888889
0.5,0.887298335,0.788675135,0.5,0.5,0.138888889
0.5,0.930568156,0.5,0.5,0.5,0.173927423
0.669990522,0.5,0.5,0.5,0.5,0.326072577
0.788675135,0.112701665,0.5,0.5,0.5,0.138888889
0.788675135,0.211324865,0.211324865,0.5,0.5,0.125
0.788675135,0.211324865,0.5,0.211324865,0.5,0.125
0.788675135,0.211324865,0.5,0.5,0.211324865,0.125
0.788675135,0.211324865,0.5,0.5,0.5,-1
0.788675135,0.211324865,0.5,0.5,0.788675135,0.125
0.788675135,0.211324865,0.5,0.788675135,0.5,0.125
0.788675135,0.211324865,0.788675135,0.5,0.5,0.125
0.788675135,0.5,0.112701665,0.5,0.5,0.138888889
0.788675135,0.5,0.211324865,0.211324865,0.5,0.125
0.788675135,0.5,0.211324865,0.5,0.211324865,0.125
0.788675135,0.5,0.211324865,0.5,0.5,-1
0.788675135,0.5,0.211324865,0.5,0.788675135,0.125
0.788675135,0.5,0.211324865,0.788675135,0.5,0.125
0.788675135,0.5,0.5,0.112701665,0.5,0.138888889
0.788675135,0.5,0.5,0.211324865,0.211324865,0.125
0.788675135,0.5,0.5,0.211324865,0.5,-1
0.788675135,0.5,0.5,0.211324865,0.788675135,0.125
0.788675135,0.5,0.5,0.5,0.112701665,0.138888889
0.788675135,0.5,0.5,0.5,0.211324865,-1
0.788675135,0.5,0.5,0.5,0.5,3.888888889
0.788675135,0.5,0.5,0.5,0.788675135,-1
0.788675135,0.5,0.5,0.5,0.887298335,0.138888889
0.788675135,0.5,0.5,0.788675135,0.211324865,0.125
0.788675135,0.5,0.5,0.788675135,0.5,-1
0.788675135,0.5,0.5,0.788675135,0.788675135,0.125
0.788675135,0.5,0.5,0.887298335,0.5,0.138888889
0.788675135,0.5,0.788675135,0.211324865,0.5,0.125
0.788675135,0.5,0.788675135,0.5,0.211324865,0.125
0.788675135,0.5,0.788675135,0.5,0.5,-1
0.788675135,0.5,0.788675135,0.5,0.788675135,0.125
0.788675135,0.5,0.788675135,0.788675135,0.5,0.125
0.788675135,0.5,0.887298335,0.5,0.5,0.138888889
0.788675135,0.788675135,0.211324865,0.5,0.5,0.125
0.788675135,0.788675135,0.5,0.211324865,0.5,0.125
0.788675135,0.788675135,0.5,0.5,0.211324865,0.125
0.788675135,0.788675135,0.5,0.5,0.5,-1
0.788675135,0.788675135,0.5,0.5,0.788675135,0.125
0.788675135,0.788675135,0.5,0.788675135,0.5,0.125
0.788675135,0.788675135,0.788675135,0.5,0.5,0.125
0.788675135,0.887298335,0.5,0.5,0.5,0.138888889
0.887298335,0.211324865,0.5,0.5,0.5,0.138888889
0.887298335,0.5,0.211324865,0.5,0.5,0.138888889
0.887298335,0.5,0.5,0.211324865,0.5,0.138888889
0.887298335,0.5,0.5,0.5,0.211324865,0.138888889
0.887298335,0.5,0.5,0.5,0.5,-1.111111111
0.887298335,0.5,0.5,0.5,0.788675135,0.138888889
0.887298335,0.5,0.5,0.788675135,0.5,0.138888889
0.887298335,0.5,0.788675135,0.5,0.5,0.138888889
0.887298335,0.788675135,0.5,0.5,0.5,0.138888889
0.930568156,0.5,0.5,0.5,0.5,0.173927423
